# x	Revenue	Cost	Profit
0.00	0.00	4457.00	-4457.00
0.10	25.50	4457.11	-4431.61
0.20	51.00	4457.23	-4406.23
0.30	76.50	4457.36	-4380.86
0.40	102.00	4457.48	-4355.48
0.50	127.50	4457.62	-4330.12
0.60	153.00	4457.75	-4304.75
0.70	178.50	4457.90	-4279.40
0.80	204.00	4458.05	-4254.05
0.90	229.50	4458.20	-4228.70
1.00	255.00	4458.36	-4203.36
1.10	280.50	4458.52	-4178.02
1.20	306.00	4458.69	-4152.69
1.30	331.50	4458.86	-4127.36
1.40	357.00	4459.04	-4102.04
1.50	382.50	4459.22	-4076.72
1.60	408.00	4459.40	-4051.41
1.70	433.50	4459.60	-4026.10
1.80	459.00	4459.79	-4000.80
1.90	484.50	4460.00	-3975.50
2.00	509.99	4460.20	-3950.21
2.10	535.49	4460.41	-3924.92
2.20	560.99	4460.63	-3899.64
2.30	586.49	4460.85	-3874.36
2.40	611.99	4461.08	-3849.09
2.50	637.49	4461.31	-3823.82
2.60	662.99	4461.55	-3798.56
2.70	688.49	4461.79	-3773.30
2.80	713.98	4462.03	-3748.05
2.90	739.48	4462.28	-3722.80
3.00	764.98	4462.54	-3697.56
3.10	790.48	4462.80	-3672.32
3.20	815.98	4463.07	-3647.09
3.30	841.47	4463.34	-3621.86
3.40	866.97	4463.61	-3596.64
3.50	892.47	4463.89	-3571.42
3.60	917.97	4464.18	-3546.21
3.70	943.46	4464.47	-3521.00
3.80	968.96	4464.76	-3495.80
3.90	994.46	4465.06	-3470.61
4.00	1019.96	4465.37	-3445.41
4.10	1045.45	4465.68	-3420.23
4.20	1070.95	4465.99	-3395.05
4.30	1096.44	4466.31	-3369.87
4.40	1121.94	4466.64	-3344.70
4.50	1147.44	4466.97	-3319.53
4.60	1172.93	4467.30	-3294.37
4.70	1198.43	4467.64	-3269.22
4.80	1223.92	4467.99	-3244.06
4.90	1249.42	4468.34	-3218.92
5.00	1274.91	4468.69	-3193.78
5.10	1300.41	4469.05	-3168.64
5.20	1325.90	4469.41	-3143.51
5.30	1351.40	4469.78	-3118.39
5.40	1376.89	4470.16	-3093.27
5.50	1402.38	4470.54	-3068.15
5.60	1427.88	4470.92	-3043.04
5.70	1453.37	4471.31	-3017.94
5.80	1478.86	4471.70	-2992.84
5.90	1504.36	4472.10	-2967.74
6.00	1529.85	4472.50	-2942.66
6.10	1555.34	4472.91	-2917.57
6.20	1580.83	4473.33	-2892.49
6.30	1606.32	4473.74	-2867.42
6.40	1631.82	4474.17	-2842.35
6.50	1657.31	4474.59	-2817.29
6.60	1682.80	4475.03	-2792.23
6.70	1708.29	4475.47	-2767.18
6.80	1733.78	4475.91	-2742.13
6.90	1759.27	4476.36	-2717.09
7.00	1784.76	4476.81	-2692.05
7.10	1810.25	4477.27	-2667.02
7.20	1835.74	4477.73	-2641.99
7.30	1861.23	4478.20	-2616.97
7.40	1886.72	4478.67	-2591.95
7.50	1912.20	4479.15	-2566.94
7.60	1937.69	4479.63	-2541.93
7.70	1963.18	4480.11	-2516.93
7.80	1988.67	4480.61	-2491.94
7.90	2014.15	4481.10	-2466.95
8.00	2039.64	4481.60	-2441.96
8.10	2065.13	4482.11	-2416.98
8.20	2090.61	4482.62	-2392.01
8.30	2116.10	4483.14	-2367.04
8.40	2141.59	4483.66	-2342.08
8.50	2167.07	4484.19	-2317.12
8.60	2192.55	4484.72	-2292.16
8.70	2218.04	4485.26	-2267.22
8.80	2243.52	4485.80	-2242.27
8.90	2269.01	4486.34	-2217.34
9.00	2294.49	4486.89	-2192.40
9.10	2319.97	4487.45	-2167.48
9.20	2345.45	4488.01	-2142.56
9.30	2370.94	4488.58	-2117.64
9.40	2396.42	4489.15	-2092.73
9.50	2421.90	4489.72	-2067.82
9.60	2447.38	4490.30	-2042.92
9.70	2472.86	4490.89	-2018.03
9.80	2498.34	4491.48	-1993.14
9.90	2523.82	4492.07	-1968.25
10.00	2549.30	4492.67	-1943.37
10.10	2574.78	4493.28	-1918.50
10.20	2600.26	4493.89	-1893.63
10.30	2625.74	4494.50	-1868.77
10.40	2651.21	4495.12	-1843.91
10.50	2676.69	4495.75	-1819.06
10.60	2702.17	4496.38	-1794.21
10.70	2727.64	4497.01	-1769.37
10.80	2753.12	4497.65	-1744.53
10.90	2778.59	4498.30	-1719.70
11.00	2804.07	4498.95	-1694.88
11.10	2829.54	4499.60	-1670.06
11.20	2855.02	4500.26	-1645.24
11.30	2880.49	4500.92	-1620.43
11.40	2905.96	4501.59	-1595.63
11.50	2931.44	4502.27	-1570.83
11.60	2956.91	4502.95	-1546.04
11.70	2982.38	4503.63	-1521.25
11.80	3007.85	4504.32	-1496.47
11.90	3033.32	4505.01	-1471.69
12.00	3058.79	4505.71	-1446.92
12.10	3084.26	4506.42	-1422.16
12.20	3109.73	4507.12	-1397.40
12.30	3135.20	4507.84	-1372.64
12.40	3160.67	4508.56	-1347.89
12.50	3186.13	4509.28	-1323.15
12.60	3211.60	4510.01	-1298.41
12.70	3237.07	4510.74	-1273.67
12.80	3262.53	4511.48	-1248.95
12.90	3288.00	4512.22	-1224.22
13.00	3313.46	4512.97	-1199.51
13.10	3338.93	4513.72	-1174.80
13.20	3364.39	4514.48	-1150.09
13.30	3389.85	4515.24	-1125.39
13.40	3415.32	4516.01	-1100.70
13.50	3440.78	4516.78	-1076.01
13.60	3466.24	4517.56	-1051.32
13.70	3491.70	4518.34	-1026.64
13.80	3517.16	4519.13	-1001.97
13.90	3542.62	4519.92	-977.30
14.00	3568.08	4520.72	-952.64
14.10	3593.54	4521.52	-927.98
14.20	3619.00	4522.33	-903.33
14.30	3644.45	4523.14	-878.69
14.40	3669.91	4523.96	-854.05
14.50	3695.37	4524.78	-829.41
14.60	3720.82	4525.61	-804.79
14.70	3746.28	4526.44	-780.16
14.80	3771.73	4527.28	-755.54
14.90	3797.18	4528.12	-730.93
15.00	3822.64	4528.96	-706.33
15.10	3848.09	4529.82	-681.73
15.20	3873.54	4530.67	-657.13
15.30	3898.99	4531.53	-632.54
15.40	3924.44	4532.40	-607.96
15.50	3949.89	4533.27	-583.38
15.60	3975.34	4534.15	-558.80
15.70	4000.79	4535.03	-534.24
15.80	4026.24	4535.91	-509.67
15.90	4051.69	4536.80	-485.12
16.00	4077.13	4537.70	-460.57
16.10	4102.58	4538.60	-436.02
16.20	4128.02	4539.51	-411.48
16.30	4153.47	4540.42	-386.95
16.40	4178.91	4541.33	-362.42
16.50	4204.36	4542.25	-337.90
16.60	4229.80	4543.18	-313.38
16.70	4255.24	4544.11	-288.87
16.80	4280.68	4545.04	-264.36
16.90	4306.12	4545.98	-239.86
17.00	4331.56	4546.93	-215.37
17.10	4357.00	4547.88	-190.88
17.20	4382.44	4548.83	-166.40
17.30	4407.88	4549.79	-141.92
17.40	4433.31	4550.76	-117.45
17.50	4458.75	4551.73	-92.98
17.60	4484.18	4552.70	-68.52
17.70	4509.62	4553.68	-44.06
17.80	4535.05	4554.67	-19.62
17.90	4560.49	4555.66	4.83
18.00	4585.92	4556.65	29.27
18.10	4611.35	4557.65	53.70
18.20	4636.78	4558.65	78.13
18.30	4662.21	4559.66	102.55
18.40	4687.64	4560.68	126.96
18.50	4713.07	4561.70	151.37
18.60	4738.50	4562.72	175.77
18.70	4763.92	4563.75	200.17
18.80	4789.35	4564.78	224.56
18.90	4814.77	4565.82	248.95
19.00	4840.20	4566.87	273.33
