# x	Revenue	Cost	Profit
0.00	0.00	4420.00	-4420.00
0.10	27.80	4420.11	-4392.31
0.20	55.60	4420.23	-4364.63
0.30	83.40	4420.34	-4336.94
0.40	111.20	4420.47	-4309.27
0.50	139.00	4420.59	-4281.59
0.60	166.80	4420.72	-4253.92
0.70	194.60	4420.85	-4226.25
0.80	222.40	4420.99	-4198.59
0.90	250.20	4421.12	-4170.92
1.00	278.00	4421.27	-4143.27
1.10	305.80	4421.41	-4115.61
1.20	333.60	4421.56	-4087.96
1.30	361.40	4421.71	-4060.31
1.40	389.20	4421.86	-4032.67
1.50	417.00	4422.02	-4005.03
1.60	444.80	4422.18	-3977.39
1.70	472.60	4422.35	-3949.75
1.80	500.40	4422.52	-3922.12
1.90	528.19	4422.69	-3894.49
2.00	555.99	4422.86	-3866.87
2.10	583.79	4423.04	-3839.25
2.20	611.59	4423.22	-3811.63
2.30	639.39	4423.41	-3784.02
2.40	667.19	4423.59	-3756.40
2.50	694.99	4423.78	-3728.80
2.60	722.79	4423.98	-3701.19
2.70	750.58	4424.18	-3673.59
2.80	778.38	4424.38	-3646.00
2.90	806.18	4424.58	-3618.40
3.00	833.98	4424.79	-3590.81
3.10	861.78	4425.00	-3563.22
3.20	889.57	4425.22	-3535.64
3.30	917.37	4425.43	-3508.06
3.40	945.17	4425.65	-3480.49
3.50	972.97	4425.88	-3452.91
3.60	1000.76	4426.11	-3425.34
3.70	1028.56	4426.34	-3397.78
3.80	1056.36	4426.57	-3370.21
3.90	1084.15	4426.81	-3342.66
4.00	1111.95	4427.05	-3315.10
4.10	1139.74	4427.29	-3287.55
4.20	1167.54	4427.54	-3260.00
4.30	1195.34	4427.79	-3232.46
4.40	1223.13	4428.05	-3204.91
4.50	1250.93	4428.30	-3177.38
4.60	1278.72	4428.56	-3149.84
4.70	1306.52	4428.83	-3122.31
4.80	1334.31	4429.10	-3094.78
4.90	1362.11	4429.37	-3067.26
5.00	1389.90	4429.64	-3039.74
5.10	1417.69	4429.92	-3012.22
5.20	1445.49	4430.20	-2984.71
5.30	1473.28	4430.48	-2957.20
5.40	1501.07	4430.77	-2929.69
5.50	1528.87	4431.06	-2902.19
5.60	1556.66	4431.35	-2874.69
5.70	1584.45	4431.65	-2847.20
5.80	1612.24	4431.95	-2819.71
5.90	1640.04	4432.25	-2792.22
6.00	1667.83	4432.56	-2764.73
6.10	1695.62	4432.87	-2737.25
6.20	1723.41	4433.19	-2709.78
6.30	1751.20	4433.50	-2682.30
6.40	1778.99	4433.82	-2654.83
6.50	1806.78	4434.15	-2627.37
6.60	1834.57	4434.47	-2599.90
6.70	1862.36	4434.80	-2572.45
6.80	1890.15	4435.14	-2544.99
6.90	1917.94	4435.48	-2517.54
7.00	1945.73	4435.82	-2490.09
7.10	1973.51	4436.16	-2462.65
7.20	2001.30	4436.51	-2435.21
7.30	2029.09	4436.86	-2407.77
7.40	2056.88	4437.21	-2380.33
7.50	2084.66	4437.57	-2352.90
