# x	Revenue	Cost	Profit
0.00	0.00	4588.00	-4588.00
0.10	26.30	4588.17	-4561.87
0.20	52.60	4588.35	-4535.75
0.30	78.90	4588.53	-4509.63
0.40	105.20	4588.71	-4483.51
0.50	131.50	4588.89	-4457.39
0.60	157.80	4589.08	-4431.28
0.70	184.10	4589.26	-4405.17
0.80	210.40	4589.46	-4379.06
0.90	236.70	4589.65	-4352.95
1.00	263.00	4589.85	-4326.85
1.10	289.30	4590.05	-4300.75
1.20	315.60	4590.25	-4274.65
1.30	341.90	4590.46	-4248.56
1.40	368.20	4590.67	-4222.47
1.50	394.50	4590.88	-4196.38
1.60	420.80	4591.09	-4170.29
1.70	447.10	4591.31	-4144.21
1.80	473.40	4591.53	-4118.13
1.90	499.70	4591.75	-4092.05
2.00	525.99	4591.97	-4065.98
2.10	552.29	4592.20	-4039.91
2.20	578.59	4592.43	-4013.84
2.30	604.89	4592.67	-3987.77
2.40	631.19	4592.90	-3961.71
2.50	657.49	4593.14	-3935.65
2.60	683.79	4593.38	-3909.60
2.70	710.09	4593.63	-3883.54
2.80	736.38	4593.87	-3857.49
2.90	762.68	4594.12	-3831.44
3.00	788.98	4594.38	-3805.40
3.10	815.28	4594.63	-3779.35
3.20	841.58	4594.89	-3753.31
3.30	867.87	4595.15	-3727.28
3.40	894.17	4595.42	-3701.24
3.50	920.47	4595.68	-3675.21
3.60	946.77	4595.95	-3649.19
3.70	973.06	4596.23	-3623.16
3.80	999.36	4596.50	-3597.14
3.90	1025.66	4596.78	-3571.12
4.00	1051.96	4597.06	-3545.10
4.10	1078.25	4597.34	-3519.09
4.20	1104.55	4597.63	-3493.08
4.30	1130.84	4597.92	-3467.07
4.40	1157.14	4598.21	-3441.07
4.50	1183.44	4598.50	-3415.07
4.60	1209.73	4598.80	-3389.07
4.70	1236.03	4599.10	-3363.07
4.80	1262.32	4599.40	-3337.08
4.90	1288.62	4599.71	-3311.09
5.00	1314.91	4600.02	-3285.10
5.10	1341.21	4600.33	-3259.12
5.20	1367.50	4600.64	-3233.14
5.30	1393.80	4600.96	-3207.16
5.40	1420.09	4601.28	-3181.19
5.50	1446.38	4601.60	-3155.22
5.60	1472.68	4601.93	-3129.25
5.70	1498.97	4602.25	-3103.28
5.80	1525.26	4602.58	-3077.32
5.90	1551.56	4602.92	-3051.36
6.00	1577.85	4603.25	-3025.41
6.10	1604.14	4603.59	-2999.45
6.20	1630.43	4603.93	-2973.50
6.30	1656.72	4604.28	-2947.55
6.40	1683.02	4604.63	-2921.61
6.50	1709.31	4604.98	-2895.67
6.60	1735.60	4605.33	-2869.73
6.70	1761.89	4605.69	-2843.80
6.80	1788.18	4606.04	-2817.86
6.90	1814.47	4606.40	-2791.93
7.00	1840.76	4606.77	-2766.01
7.10	1867.05	4607.14	-2740.09
7.20	1893.34	4607.51	-2714.17
7.30	1919.63	4607.88	-2688.25
7.40	1945.92	4608.25	-2662.34
7.50	1972.20	4608.63	-2636.43
7.60	1998.49	4609.01	-2610.52
7.70	2024.78	4609.39	-2584.61
7.80	2051.07	4609.78	-2558.71
7.90	2077.35	4610.17	-2532.82
8.00	2103.64	4610.56	-2506.92
8.10	2129.93	4610.96	-2481.03
8.20	2156.21	4611.35	-2455.14
8.30	2182.50	4611.75	-2429.25
8.40	2208.79	4612.16	-2403.37
8.50	2235.07	4612.56	-2377.49
8.60	2261.35	4612.97	-2351.62
8.70	2287.64	4613.38	-2325.74
8.80	2313.92	4613.80	-2299.87
8.90	2340.21	4614.21	-2274.01
9.00	2366.49	4614.63	-2248.14
9.10	2392.77	4615.06	-2222.28
9.20	2419.05	4615.48	-2196.43
9.30	2445.34	4615.91	-2170.57
9.40	2471.62	4616.34	-2144.72
9.50	2497.90	4616.77	-2118.87
9.60	2524.18	4617.21	-2093.03
9.70	2550.46	4617.65	-2067.19
9.80	2576.74	4618.09	-2041.35
9.90	2603.02	4618.54	-2015.52
10.00	2629.30	4618.98	-1989.68
10.10	2655.58	4619.43	-1963.86
10.20	2681.86	4619.89	-1938.03
10.30	2708.14	4620.34	-1912.21
10.40	2734.41	4620.80	-1886.39
10.50	2760.69	4621.26	-1860.57
10.60	2786.97	4621.73	-1834.76
10.70	2813.24	4622.20	-1808.95
10.80	2839.52	4622.67	-1783.15
10.90	2865.79	4623.14	-1757.34
11.00	2892.07	4623.61	-1731.55
11.10	2918.34	4624.09	-1705.75
11.20	2944.62	4624.57	-1679.96
11.30	2970.89	4625.06	-1654.17
11.40	2997.16	4625.54	-1628.38
11.50	3023.44	4626.03	-1602.60
11.60	3049.71	4626.53	-1576.82
11.70	3075.98	4627.02	-1551.04
11.80	3102.25	4627.52	-1525.27
11.90	3128.52	4628.02	-1499.50
12.00	3154.79	4628.52	-1473.73
12.10	3181.06	4629.03	-1447.97
12.20	3207.33	4629.54	-1422.21
12.30	3233.60	4630.05	-1396.45
12.40	3259.87	4630.56	-1370.70
12.50	3286.13	4631.08	-1344.95
12.60	3312.40	4631.60	-1319.20
12.70	3338.67	4632.12	-1293.46
12.80	3364.93	4632.65	-1267.72
12.90	3391.20	4633.18	-1241.98
13.00	3417.46	4633.71	-1216.25
13.10	3443.73	4634.24	-1190.52
13.20	3469.99	4634.78	-1164.79
13.30	3496.25	4635.32	-1139.07
13.40	3522.52	4635.86	-1113.35
13.50	3548.78	4636.41	-1087.63
13.60	3575.04	4636.96	-1061.92
13.70	3601.30	4637.51	-1036.21
13.80	3627.56	4638.06	-1010.50
13.90	3653.82	4638.62	-984.80
14.00	3680.08	4639.18	-959.10
14.10	3706.34	4639.74	-933.40
14.20	3732.60	4640.30	-907.71
14.30	3758.85	4640.87	-882.02
14.40	3785.11	4641.44	-856.33
14.50	3811.37	4642.02	-830.65
14.60	3837.62	4642.59	-804.97
14.70	3863.88	4643.17	-779.29
14.80	3890.13	4643.75	-753.62
14.90	3916.38	4644.34	-727.95
15.00	3942.64	4644.92	-702.29
15.10	3968.89	4645.51	-676.62
15.20	3995.14	4646.11	-650.96
15.30	4021.39	4646.70	-625.31
15.40	4047.64	4647.30	-599.66
15.50	4073.89	4647.90	-574.01
15.60	4100.14	4648.51	-548.36
15.70	4126.39	4649.11	-522.72
15.80	4152.64	4649.72	-497.08
15.90	4178.89	4650.34	-471.45
16.00	4205.13	4650.95	-445.82
16.10	4231.38	4651.57	-420.19
16.20	4257.62	4652.19	-394.57
16.30	4283.87	4652.81	-368.94
16.40	4310.11	4653.44	-343.33
16.50	4336.36	4654.07	-317.71
16.60	4362.60	4654.70	-292.10
16.70	4388.84	4655.34	-266.50
16.80	4415.08	4655.97	-240.89
16.90	4441.32	4656.61	-215.29
17.00	4467.56	4657.26	-189.70
17.10	4493.80	4657.90	-164.10
17.20	4520.04	4658.55	-138.51
17.30	4546.28	4659.20	-112.93
17.40	4572.51	4659.86	-87.35
17.50	4598.75	4660.52	-61.77
17.60	4624.98	4661.18	-36.19
17.70	4651.22	4661.84	-10.62
17.80	4677.45	4662.50	14.95
17.90	4703.69	4663.17	40.51
18.00	4729.92	4663.84	66.07
18.10	4756.15	4664.52	91.63
18.20	4782.38	4665.20	117.18
18.30	4808.61	4665.87	142.74
18.40	4834.84	4666.56	168.28
18.50	4861.07	4667.24	193.83
18.60	4887.30	4667.93	219.36
18.70	4913.52	4668.62	244.90
18.80	4939.75	4669.32	270.43
18.90	4965.97	4670.01	295.96
19.00	4992.20	4670.71	321.49
19.10	5018.42	4671.41	347.01
19.20	5044.65	4672.12	372.53
19.30	5070.87	4672.83	398.04
19.40	5097.09	4673.54	423.55
19.50	5123.31	4674.25	449.06
19.60	5149.53	4674.97	474.56
19.70	5175.75	4675.69	500.06
19.80	5201.97	4676.41	525.56
19.90	5228.18	4677.13	551.05
20.00	5254.40	4677.86	576.54
20.10	5280.62	4678.59	602.03
20.20	5306.83	4679.32	627.51
20.30	5333.04	4680.06	652.99
20.40	5359.26	4680.80	678.46
20.50	5385.47	4681.54	703.93
20.60	5411.68	4682.28	729.40
20.70	5437.89	4683.03	754.86
20.80	5464.10	4683.78	780.32
20.90	5490.31	4684.53	805.78
21.00	5516.52	4685.29	831.23
21.10	5542.72	4686.05	856.68
21.20	5568.93	4686.81	882.12
21.30	5595.14	4687.57	907.56
21.40	5621.34	4688.34	933.00
21.50	5647.54	4689.11	958.43
21.60	5673.75	4689.88	983.86
21.70	5699.95	4690.66	1009.29
21.80	5726.15	4691.43	1034.71
21.90	5752.35	4692.22	1060.13
22.00	5778.55	4693.00	1085.55
22.10	5804.74	4693.79	1110.96
22.20	5830.94	4694.57	1136.37
22.30	5857.14	4695.37	1161.77
22.40	5883.33	4696.16	1187.17
22.50	5909.53	4696.96	1212.57
22.60	5935.72	4697.76	1237.96
22.70	5961.91	4698.56	1263.35
22.80	5988.10	4699.37	1288.73
22.90	6014.29	4700.18	1314.11
23.00	6040.48	4700.99	1339.49
23.10	6066.67	4701.81	1364.87
23.20	6092.86	4702.62	1390.24
23.30	6119.05	4703.44	1415.60
23.40	6145.23	4704.27	1440.96
23.50	6171.42	4705.09	1466.32
23.60	6197.60	4705.92	1491.68
23.70	6223.78	4706.75	1517.03
23.80	6249.96	4707.59	1542.38
23.90	6276.14	4708.42	1567.72
24.00	6302.32	4709.26	1593.06
24.10	6328.50	4710.11	1618.40
24.20	6354.68	4710.95	1643.73
24.30	6380.86	4711.80	1669.06
24.40	6407.03	4712.65	1694.38
24.50	6433.21	4713.51	1719.70
24.60	6459.38	4714.36	1745.02
24.70	6485.55	4715.22	1770.33
24.80	6511.72	4716.08	1795.64
24.90	6537.89	4716.95	1820.94
25.00	6564.06	4717.82	1846.24
25.10	6590.23	4718.69	1871.54
25.20	6616.40	4719.56	1896.83
25.30	6642.56	4720.44	1922.12
25.40	6668.73	4721.32	1947.41
25.50	6694.89	4722.20	1972.69
25.60	6721.06	4723.09	1997.97
25.70	6747.22	4723.97	2023.24
25.80	6773.38	4724.87	2048.51
25.90	6799.54	4725.76	2073.78
26.00	6825.70	4726.66	2099.04
26.10	6851.85	4727.55	2124.30
26.20	6878.01	4728.46	2149.55
26.30	6904.17	4729.36	2174.80
26.40	6930.32	4730.27	2200.05
26.50	6956.47	4731.18	2225.29
26.60	6982.63	4732.09	2250.53
26.70	7008.78	4733.01	2275.77
26.80	7034.93	4733.93	2301.00
26.90	7061.07	4734.85	2326.23
27.00	7087.22	4735.77	2351.45
27.10	7113.37	4736.70	2376.67
27.20	7139.51	4737.63	2401.88
27.30	7165.66	4738.56	2427.09
27.40	7191.80	4739.50	2452.30
27.50	7217.94	4740.44	2477.50
27.60	7244.08	4741.38	2502.70
27.70	7270.22	4742.33	2527.90
27.80	7296.36	4743.27	2553.09
27.90	7322.50	4744.22	2578.28
28.00	7348.63	4745.18	2603.46
28.10	7374.77	4746.13	2628.64
28.20	7400.90	4747.09	2653.81
28.30	7427.03	4748.05	2678.98
28.40	7453.17	4749.01	2704.15
28.50	7479.30	4749.98	2729.31
28.60	7505.42	4750.95	2754.47
28.70	7531.55	4751.92	2779.63
28.80	7557.68	4752.90	2804.78
28.90	7583.80	4753.88	2829.93
29.00	7609.93	4754.86	2855.07
29.10	7636.05	4755.84	2880.21
29.20	7662.17	4756.83	2905.34
29.30	7688.29	4757.82	2930.47
29.40	7714.41	4758.81	2955.60
29.50	7740.53	4759.81	2980.72
29.60	7766.65	4760.81	3005.84
29.70	7792.76	4761.81	3030.96
29.80	7818.88	4762.81	3056.07
29.90	7844.99	4763.82	3081.17
30.00	7871.10	4764.83	3106.27
30.10	7897.21	4765.84	3131.37
30.20	7923.32	4766.85	3156.47
30.30	7949.43	4767.87	3181.56
30.40	7975.53	4768.89	3206.64
30.50	8001.64	4769.92	3231.72
30.60	8027.74	4770.94	3256.80
30.70	8053.85	4771.97	3281.87
30.80	8079.95	4773.00	3306.94
30.90	8106.05	4774.04	3332.01
31.00	8132.15	4775.08	3357.07
31.10	8158.24	4776.12	3382.13
31.20	8184.34	4777.16	3407.18
31.30	8210.43	4778.21	3432.23
31.40	8236.53	4779.25	3457.27
31.50	8262.62	4780.31	3482.31
31.60	8288.71	4781.36	3507.35
31.70	8314.80	4782.42	3532.38
31.80	8340.89	4783.48	3557.41
31.90	8366.98	4784.54	3582.43
32.00	8393.06	4785.61	3607.45
32.10	8419.15	4786.68	3632.47
32.20	8445.23	4787.75	3657.48
32.30	8471.31	4788.82	3682.49
32.40	8497.39	4789.90	3707.49
32.50	8523.47	4790.98	3732.49
32.60	8549.55	4792.06	3757.48
32.70	8575.62	4793.15	3782.47
32.80	8601.70	4794.24	3807.46
32.90	8627.77	4795.33	3832.44
33.00	8653.84	4796.43	3857.42
33.10	8679.91	4797.52	3882.39
33.20	8705.98	4798.62	3907.36
33.30	8732.05	4799.73	3932.33
33.40	8758.12	4800.83	3957.29
33.50	8784.18	4801.94	3982.24
33.60	8810.25	4803.05	4007.20
33.70	8836.31	4804.17	4032.14
33.80	8862.37	4805.28	4057.09
33.90	8888.43	4806.40	4082.03
34.00	8914.49	4807.53	4106.96
34.10	8940.54	4808.65	4131.89
34.20	8966.60	4809.78	4156.82
34.30	8992.65	4810.91	4181.74
34.40	9018.70	4812.05	4206.66
34.50	9044.76	4813.18	4231.57
34.60	9070.80	4814.32	4256.48
34.70	9096.85	4815.47	4281.39
34.80	9122.90	4816.61	4306.29
34.90	9148.94	4817.76	4331.18
35.00	9174.99	4818.91	4356.08
35.10	9201.03	4820.06	4380.96
35.20	9227.07	4821.22	4405.85
35.30	9253.11	4822.38	4430.73
35.40	9279.15	4823.54	4455.60
35.50	9305.18	4824.71	4480.47
35.60	9331.22	4825.88	4505.34
35.70	9357.25	4827.05	4530.20
35.80	9383.28	4828.22	4555.06
35.90	9409.31	4829.40	4579.91
36.00	9435.34	4830.58	4604.76
36.10	9461.37	4831.76	4629.61
36.20	9487.39	4832.95	4654.45
36.30	9513.42	4834.14	4679.28
36.40	9539.44	4835.33	4704.11
36.50	9565.46	4836.52	4728.94
36.60	9591.48	4837.72	4753.76
36.70	9617.50	4838.92	4778.58
36.80	9643.51	4840.12	4803.40
36.90	9669.53	4841.32	4828.21
37.00	9695.54	4842.53	4853.01
37.10	9721.55	4843.74	4877.81
37.20	9747.56	4844.96	4902.61
37.30	9773.57	4846.17	4927.40
37.40	9799.58	4847.39	4952.19
37.50	9825.59	4848.62	4976.97
37.60	9851.59	4849.84	5001.75
37.70	9877.59	4851.07	5026.52
37.80	9903.59	4852.30	5051.29
37.90	9929.59	4853.53	5076.06
38.00	9955.59	4854.77	5100.82
38.10	9981.59	4856.01	5125.58
38.20	10007.58	4857.25	5150.33
38.30	10033.57	4858.50	5175.08
38.40	10059.56	4859.75	5199.82
38.50	10085.55	4861.00	5224.56
38.60	10111.54	4862.25	5249.29
38.70	10137.53	4863.51	5274.02
38.80	10163.51	4864.77	5298.75
38.90	10189.50	4866.03	5323.47
39.00	10215.48	4867.29	5348.18
39.10	10241.46	4868.56	5372.89
39.20	10267.43	4869.83	5397.60
39.30	10293.41	4871.11	5422.30
39.40	10319.39	4872.38	5447.00
39.50	10345.36	4873.66	5471.70
39.60	10371.33	4874.94	5496.39
39.70	10397.30	4876.23	5521.07
39.80	10423.27	4877.52	5545.75
39.90	10449.24	4878.81	5570.43
40.00	10475.20	4880.10	5595.10
40.10	10501.16	4881.40	5619.76
40.20	10527.12	4882.70	5644.43
40.30	10553.08	4884.00	5669.08
40.40	10579.04	4885.31	5693.74
40.50	10605.00	4886.61	5718.39
40.60	10630.95	4887.92	5743.03
40.70	10656.91	4889.24	5767.67
40.80	10682.86	4890.55	5792.30
40.90	10708.81	4891.87	5816.93
41.00	10734.76	4893.20	5841.56
41.10	10760.70	4894.52	5866.18
41.20	10786.65	4895.85	5890.80
41.30	10812.59	4897.18	5915.41
41.40	10838.53	4898.51	5940.02
41.50	10864.47	4899.85	5964.62
41.60	10890.41	4901.19	5989.22
41.70	10916.34	4902.53	6013.81
41.80	10942.28	4903.88	6038.40
41.90	10968.21	4905.22	6062.98
42.00	10994.14	4906.58	6087.56
42.10	11020.07	4907.93	6112.14
42.20	11045.99	4909.29	6136.71
42.30	11071.92	4910.65	6161.27
42.40	11097.84	4912.01	6185.84
42.50	11123.76	4913.37	6210.39
42.60	11149.68	4914.74	6234.94
42.70	11175.60	4916.11	6259.49
42.80	11201.52	4917.49	6284.03
42.90	11227.43	4918.86	6308.57
43.00	11253.35	4920.24	6333.10
43.10	11279.26	4921.62	6357.63
43.20	11305.16	4923.01	6382.16
43.30	11331.07	4924.40	6406.68
43.40	11356.98	4925.79	6431.19
43.50	11382.88	4927.18	6455.70
43.60	11408.78	4928.58	6480.20
43.70	11434.68	4929.98	6504.71
43.80	11460.58	4931.38	6529.20
43.90	11486.48	4932.78	6553.69
44.00	11512.37	4934.19	6578.18
44.10	11538.26	4935.60	6602.66
44.20	11564.15	4937.02	6627.14
44.30	11590.04	4938.43	6651.61
44.40	11615.93	4939.85	6676.08
44.50	11641.82	4941.28	6700.54
44.60	11667.70	4942.70	6725.00
44.70	11693.58	4944.13	6749.45
44.80	11719.46	4945.56	6773.90
44.90	11745.34	4946.99	6798.34
45.00	11771.21	4948.43	6822.78
45.10	11797.09	4949.87	6847.22
45.20	11822.96	4951.31	6871.64
45.30	11848.83	4952.76	6896.07
45.40	11874.70	4954.21	6920.49
45.50	11900.56	4955.66	6944.90
45.60	11926.43	4957.11	6969.31
45.70	11952.29	4958.57	6993.72
45.80	11978.15	4960.03	7018.12
45.90	12004.01	4961.49	7042.52
46.00	12029.86	4962.96	7066.91
46.10	12055.72	4964.42	7091.29
46.20	12081.57	4965.90	7115.68
46.30	12107.42	4967.37	7140.05
46.40	12133.27	4968.85	7164.42
46.50	12159.12	4970.33	7188.79
46.60	12184.96	4971.81	7213.15
46.70	12210.81	4973.30	7237.51
46.80	12236.65	4974.78	7261.86
46.90	12262.49	4976.27	7286.21
47.00	12288.32	4977.77	7310.55
47.10	12314.16	4979.27	7334.89
47.20	12339.99	4980.77	7359.23
47.30	12365.82	4982.27	7383.55
47.40	12391.65	4983.77	7407.88
47.50	12417.48	4985.28	7432.20
47.60	12443.30	4986.79	7456.51
47.70	12469.13	4988.31	7480.82
47.80	12494.95	4989.83	7505.12
47.90	12520.77	4991.35	7529.42
48.00	12546.59	4992.87	7553.72
48.10	12572.40	4994.39	7578.01
48.20	12598.21	4995.92	7602.29
48.30	12624.02	4997.45	7626.57
48.40	12649.83	4998.99	7650.84
48.50	12675.64	5000.53	7675.11
48.60	12701.45	5002.07	7699.38
48.70	12727.25	5003.61	7723.64
48.80	12753.05	5005.16	7747.89
48.90	12778.85	5006.70	7772.14
49.00	12804.65	5008.26	7796.39
49.10	12830.44	5009.81	7820.63
49.20	12856.23	5011.37	7844.87
49.30	12882.02	5012.93	7869.10
49.40	12907.81	5014.49	7893.32
49.50	12933.60	5016.06	7917.54
49.60	12959.38	5017.63	7941.76
49.70	12985.17	5019.20	7965.97
49.80	13010.95	5020.77	7990.17
49.90	13036.72	5022.35	8014.37
50.00	13062.50	5023.93	8038.57
50.10	13088.27	5025.51	8062.76
50.20	13114.05	5027.10	8086.94
50.30	13139.82	5028.69	8111.13
50.40	13165.58	5030.28	8135.30
50.50	13191.35	5031.88	8159.47
50.60	13217.11	5033.47	8183.64
50.70	13242.87	5035.08	8207.80
50.80	13268.63	5036.68	8231.95
50.90	13294.39	5038.29	8256.10
51.00	13320.14	5039.89	8280.25
51.10	13345.90	5041.51	8304.39
51.20	13371.65	5043.12	8328.53
51.30	13397.40	5044.74	8352.66
51.40	13423.14	5046.36	8376.78
51.50	13448.89	5047.98	8400.90
51.60	13474.63	5049.61	8425.02
51.70	13500.37	5051.24	8449.13
51.80	13526.11	5052.87	8473.23
51.90	13551.84	5054.51	8497.33
52.00	13577.57	5056.15	8521.43
52.10	13603.31	5057.79	8545.52
52.20	13629.03	5059.43	8569.60
52.30	13654.76	5061.08	8593.68
52.40	13680.49	5062.73	8617.76
52.50	13706.21	5064.38	8641.83
52.60	13731.93	5066.04	8665.89
52.70	13757.65	5067.69	8689.95
52.80	13783.36	5069.36	8714.01
52.90	13809.07	5071.02	8738.05
53.00	13834.79	5072.69	8762.10
53.10	13860.50	5074.36	8786.14
53.20	13886.20	5076.03	8810.17
53.30	13911.91	5077.71	8834.20
53.40	13937.61	5079.38	8858.22
53.50	13963.31	5081.07	8882.24
53.60	13989.01	5082.75	8906.26
53.70	14014.70	5084.44	8930.26
53.80	14040.40	5086.13	8954.27
53.90	14066.09	5087.82	8978.27
54.00	14091.78	5089.52	9002.26
54.10	14117.46	5091.22	9026.25
54.20	14143.15	5092.92	9050.23
54.30	14168.83	5094.62	9074.21
54.40	14194.51	5096.33	9098.18
54.50	14220.18	5098.04	9122.14
54.60	14245.86	5099.75	9146.11
54.70	14271.53	5101.47	9170.06
54.80	14297.20	5103.19	9194.01
54.90	14322.87	5104.91	9217.96
55.00	14348.54	5106.64	9241.90
55.10	14374.20	5108.36	9265.84
55.20	14399.86	5110.09	9289.77
55.30	14425.52	5111.83	9313.69
55.40	14451.18	5113.56	9337.61
55.50	14476.83	5115.30	9361.53
55.60	14502.48	5117.05	9385.44
55.70	14528.13	5118.79	9409.34
55.80	14553.78	5120.54	9433.24
55.90	14579.43	5122.29	9457.14
56.00	14605.07	5124.04	9481.02
56.10	14630.71	5125.80	9504.91
56.20	14656.35	5127.56	9528.79
56.30	14681.98	5129.32	9552.66
56.40	14707.62	5131.09	9576.53
56.50	14733.25	5132.86	9600.39
56.60	14758.87	5134.63	9624.25
56.70	14784.50	5136.40	9648.10
56.80	14810.12	5138.18	9671.94
56.90	14835.75	5139.96	9695.79
57.00	14861.36	5141.74	9719.62
57.10	14886.98	5143.53	9743.45
57.20	14912.60	5145.32	9767.28
57.30	14938.21	5147.11	9791.10
57.40	14963.82	5148.90	9814.91
57.50	14989.42	5150.70	9838.72
57.60	15015.03	5152.50	9862.53
57.70	15040.63	5154.31	9886.32
57.80	15066.23	5156.11	9910.12
57.90	15091.83	5157.92	9933.91
58.00	15117.42	5159.73	9957.69
58.10	15143.01	5161.55	9981.47
58.20	15168.60	5163.37	10005.24
58.30	15194.19	5165.19	10029.01
58.40	15219.78	5167.01	10052.77
58.50	15245.36	5168.84	10076.52
58.60	15270.94	5170.67	10100.27
58.70	15296.52	5172.50	10124.02
58.80	15322.09	5174.33	10147.76
58.90	15347.66	5176.17	10171.49
59.00	15373.23	5178.01	10195.22
59.10	15398.80	5179.86	10218.95
59.20	15424.37	5181.70	10242.66
59.30	15449.93	5183.55	10266.38
59.40	15475.49	5185.41	10290.09
59.50	15501.05	5187.26	10313.79
59.60	15526.60	5189.12	10337.48
59.70	15552.16	5190.98	10361.18
59.80	15577.71	5192.84	10384.86
59.90	15603.25	5194.71	10408.54
60.00	15628.80	5196.58	10432.22
60.10	15654.34	5198.46	10455.89
60.20	15679.88	5200.33	10479.55
60.30	15705.42	5202.21	10503.21
60.40	15730.96	5204.09	10526.86
60.50	15756.49	5205.98	10550.51
60.60	15782.02	5207.86	10574.15
60.70	15807.55	5209.75	10597.79
60.80	15833.07	5211.65	10621.42
60.90	15858.59	5213.54	10645.05
61.00	15884.11	5215.44	10668.67
61.10	15909.63	5217.35	10692.28
61.20	15935.15	5219.25	10715.89
61.30	15960.66	5221.16	10739.50
61.40	15986.17	5223.07	10763.10
61.50	16011.67	5224.98	10786.69
61.60	16037.18	5226.90	10810.28
61.70	16062.68	5228.82	10833.86
61.80	16088.18	5230.74	10857.44
61.90	16113.68	5232.67	10881.01
62.00	16139.17	5234.60	10904.57
62.10	16164.66	5236.53	10928.13
62.20	16190.15	5238.46	10951.69
62.30	16215.64	5240.40	10975.24
62.40	16241.12	5242.34	10998.78
62.50	16266.60	5244.28	11022.32
62.60	16292.08	5246.23	11045.85
62.70	16317.56	5248.18	11069.38
62.80	16343.03	5250.13	11092.90
62.90	16368.50	5252.08	11116.42
63.00	16393.97	5254.04	11139.93
63.10	16419.43	5256.00	11163.43
63.20	16444.89	5257.97	11186.93
63.30	16470.35	5259.93	11210.42
63.40	16495.81	5261.90	11233.91
63.50	16521.27	5263.87	11257.39
63.60	16546.72	5265.85	11280.87
63.70	16572.17	5267.83	11304.34
63.80	16597.61	5269.81	11327.81
63.90	16623.06	5271.79	11351.27
64.00	16648.50	5273.78	11374.72
64.10	16673.94	5275.77	11398.17
64.20	16699.37	5277.76	11421.61
64.30	16724.81	5279.76	11445.05
64.40	16750.24	5281.75	11468.48
64.50	16775.66	5283.76	11491.91
64.60	16801.09	5285.76	11515.33
64.70	16826.51	5287.77	11538.74
64.80	16851.93	5289.78	11562.15
64.90	16877.35	5291.79	11585.56
65.00	16902.76	5293.81	11608.96
65.10	16928.17	5295.83	11632.35
65.20	16953.58	5297.85	11655.73
65.30	16978.99	5299.87	11679.12
65.40	17004.39	5301.90	11702.49
65.50	17029.79	5303.93	11725.86
65.60	17055.19	5305.97	11749.22
65.70	17080.58	5308.00	11772.58
65.80	17105.98	5310.04	11795.94
65.90	17131.37	5312.08	11819.28
66.00	17156.75	5314.13	11842.62
66.10	17182.14	5316.18	11865.96
66.20	17207.52	5318.23	11889.29
