# x	Revenue	Cost	Profit
0.00	0.00	4481.00	-4481.00
0.10	21.80	4481.19	-4459.39
0.20	43.60	4481.39	-4437.79
0.30	65.40	4481.59	-4416.19
0.40	87.20	4481.79	-4394.59
0.50	109.00	4482.00	-4373.00
0.60	130.80	4482.21	-4351.41
0.70	152.60	4482.42	-4329.82
0.80	174.40	4482.63	-4308.23
0.90	196.20	4482.85	-4286.65
1.00	218.00	4483.07	-4265.07
1.10	239.80	4483.29	-4243.49
1.20	261.60	4483.52	-4221.92
1.30	283.40	4483.75	-4200.35
1.40	305.20	4483.98	-4178.78
1.50	327.00	4484.22	-4157.22
1.60	348.80	4484.46	-4135.66
1.70	370.60	4484.70	-4114.10
1.80	392.39	4484.94	-4092.55
1.90	414.19	4485.19	-4070.99
2.00	435.99	4485.44	-4049.45
2.10	457.79	4485.69	-4027.90
2.20	479.59	4485.95	-4006.36
2.30	501.39	4486.21	-3984.82
2.40	523.19	4486.47	-3963.28
2.50	544.99	4486.74	-3941.75
2.60	566.78	4487.00	-3920.22
2.70	588.58	4487.28	-3898.69
2.80	610.38	4487.55	-3877.17
2.90	632.18	4487.83	-3855.65
3.00	653.98	4488.11	-3834.13
3.10	675.77	4488.39	-3812.62
3.20	697.57	4488.68	-3791.11
3.30	719.37	4488.97	-3769.60
3.40	741.16	4489.26	-3748.09
3.50	762.96	4489.55	-3726.59
3.60	784.76	4489.85	-3705.09
3.70	806.55	4490.15	-3683.60
3.80	828.35	4490.46	-3662.11
3.90	850.15	4490.77	-3640.62
4.00	871.94	4491.08	-3619.13
4.10	893.74	4491.39	-3597.65
4.20	915.53	4491.71	-3576.17
4.30	937.33	4492.02	-3554.70
4.40	959.12	4492.35	-3533.22
4.50	980.92	4492.67	-3511.75
4.60	1002.71	4493.00	-3490.29
4.70	1024.51	4493.33	-3468.83
4.80	1046.30	4493.67	-3447.37
4.90	1068.09	4494.00	-3425.91
5.00	1089.89	4494.34	-3404.46
5.10	1111.68	4494.69	-3383.01
5.20	1133.47	4495.03	-3361.56
5.30	1155.27	4495.38	-3340.12
5.40	1177.06	4495.74	-3318.68
5.50	1198.85	4496.09	-3297.24
5.60	1220.64	4496.45	-3275.81
5.70	1242.43	4496.81	-3254.38
5.80	1264.22	4497.17	-3232.95
5.90	1286.02	4497.54	-3211.53
6.00	1307.81	4497.91	-3190.11
6.10	1329.60	4498.29	-3168.69
6.20	1351.39	4498.66	-3147.28
6.30	1373.17	4499.04	-3125.87
6.40	1394.96	4499.42	-3104.46
6.50	1416.75	4499.81	-3083.06
6.60	1438.54	4500.20	-3061.66
6.70	1460.33	4500.59	-3040.26
6.80	1482.12	4500.98	-3018.87
6.90	1503.90	4501.38	-2997.48
7.00	1525.69	4501.78	-2976.09
7.10	1547.48	4502.18	-2954.71
7.20	1569.26	4502.59	-2933.33
7.30	1591.05	4503.00	-2911.95
7.40	1612.84	4503.41	-2890.58
7.50	1634.62	4503.83	-2869.21
7.60	1656.40	4504.25	-2847.84
7.70	1678.19	4504.67	-2826.48
7.80	1699.97	4505.09	-2805.12
7.90	1721.76	4505.52	-2783.76
8.00	1743.54	4505.95	-2762.41
8.10	1765.32	4506.38	-2741.06
8.20	1787.10	4506.82	-2719.72
8.30	1808.89	4507.26	-2698.38
8.40	1830.67	4507.70	-2677.04
8.50	1852.45	4508.15	-2655.70
8.60	1874.23	4508.60	-2634.37
